EM2016 Players,Net Worth in Millions
Denys Boyko,4.75
Mykyta Shevchenko,1.8
Vyacheslav Shevchuk,0.6
Oleksandr Kucher,1.5
Anatoliy Tymoshchuk,0.2
Ruslan Rotan,1.5
Taras Stepanenko,8.0
Viktor Kovalenko,2.0
Oleksandr Zinchenko,4.0
Andriy Yarmolenko,25.0
Roman Zozulya,3.5
Danijel Subašić,5.0
Lovre Kalinić,2.5
Ivan Vargić,1.75
Darijo Srna,5.0
Šime Vrsaljko,9.0
Vedran Ćorluka,11.0
Domagoj Vida,7.5
Tin Jedvaj,8.0
Gordon Schildenfeld,1.5
Ivan Strinić,5.0
Luka Modrić,50.0
Ivan Rakitić,45.0
Marcelo Brozović,15.0
Milan Badelj,7.0
Ante Ćorić,6.0
Marko Rog,5.0
Ivan Perišić,19.0
Marko Pjaca,7.0
Mario Mandžukić,19.0
Nikola Kalinić,15.0
Andrej Kramarić,5.0
Duje Čop,3.0
Petr Čech,12.0
Tomáš Vaclík,4.0
Tomáš Koubek,0.9
Roman Hubník,0.4
Pavel Kadeřábek,3.5
Theodor Gebre Selassie,3.0
Tomáš Sivok,2.5
Michal Kadlec,2.0
Marek Suchý,4.5
David Limberský,1.5
Daniel Pudil,1.5
David Pavelka,1.5
Jiří Skalák,1.25
Bořek Dočkal,2.75
Vladimír Darida,7.0
Tomáš Rosický,1.5
Daniel Kolář,1.75
Jaroslav Plašil,1.0
Josef Šural,1.75
Tomáš Necid,4.5
David Lafata,1.0
Iker Casillas,4.0
David de Gea,35.0
Sergio Rico,10.0
Marc Bartra,12.0
Jordi Alba,35.0
César Azpilicueta,20.0
Juanfran,16.0
Gerard Piqué,40.0
Sergio Ramos,40.0
Héctor Bellerín,13.0
Sergio Busquets,50.0
Cesc Fàbregas,45.0
Bruno Soriano,8.0
Andrés Iniesta,35.0
Mikel San José,8.0
Lucas Vázquez,7.5
Koke,50.0
David Silva,38.0
Thiago Alcântara,25.0
Pedro,23.0
Aritz Aduriz,3.0
Nolito,15.0
Álvaro Morata,25.0
Volkan Babacan,7.5
Onur Kivrak,7.5
Harun Tekin,1.5
Gökhan Gönül,6.5
Şener Özbayraklı,5.0
Hakan Kadir Balta,1.2
Ahmet Çalık,4.0
Mehmet Topal,12.0
Caner Erkin,11.0
İsmail Köybaşı,4.0
Semih Kaya,7.5
Ozan Tufan,7.5
Selçuk İnan,7.0
Oğuzhan Özyakup,9.5
Nuri Şahin,7.5
Hakan Çalhanoğlu,18.0
Arda Turan,35.0
Olcay Şahan,7.0
Emre Mor,0.1
Cenk Tosun,7.0
Yunus Mallı,9.0
Thibaut Courtois,35.0
Simon Mignolet,12.0
Jean-François Gillet,0.4
Toby Alderweireld,22.0
Thomas Meunier,6.0
Christian Kabasele,6.0
Laurent Ciman,2.5
Jason Denayer,4.0
Thomas Vermaelen,4.0
Jordan Lukaku,3.0
Jan Vertonghen,21.0
Axel Witsel,28.0
Radja Nainggolan,27.0
Marouane Fellaini,19.0
Moussa Dembélé,3.0
Kevin De Bruyne,60.0
Eden Hazard,70.0
Dries Mertens,17.0
Romelu Lukaku,35.0
Christian Benteke,30.0
Michy Batshuayi,14.0
Divock Origi,9.0
Gianluigi Buffon,2.0
Salvatore Sirigu,9.0
Federico Marchetti,5.5
Matteo Darmian,15.0
Mattia De Sciglio,5.0
Angelo Ogbonna,9.0
Andrea Barzagli,3.0
Giorgio Chiellini,15.0
Leonardo Bonucci,30.0
Thiago Motta,3.0
Marco Parolo,7.5
Daniele De Rossi,7.0
Stefano Sturaro,10.0
Emanuele Giaccherini,4.0
Federico Bernardeschi,15.0
Alessandro Florenzi,20.0
Antonio Candreva,25.0
Stephan El Shaarawy,15.0
Lorenzo Insigne,25.0
Ciro Immobile,10.0
Simone Zaza,11.0
Éder,15.0
Graziano Pellè,11.0
Darren Randolph,1.0
Shay Given,0.5
Keiren Westwood,1.5
Ciaran Clark,4.5
Cyrus Christie,1.0
John O'Shea,1.0
Richard Keogh,1.8
Robbie Brady,6.0
Seamus Coleman,19.0
Stephen Ward,1.0
Shane Duffy,1.5
Aiden McGeady,4.5
David Meyler,2.5
Glenn Whelan,3.0
James McCarthy,17.0
James McClean,3.0
Jeff Hendrick,1.5
Stephen Quinn,1.5
Daryl Murphy,1.0
Robbie Keane,1.0
Shane Long,10.0
Robin Olsen,1.5
Andreas Isaksson,1.2
Patrik Carlgren,0.8
Mikael Lustig,3.5
Pontus Jansson,1.3
Erik Johansson,1.0
Andreas Granqvist,8.0
Ludwig Augustinsson,3.0
Martin Olsson,4.0
Albin Ekdal,4.5
Oscar Hiljemark,3.0
Erkan Zengin,3.3
Jimmy Durmaz,3.75
Emil Forsberg,4.0
Sebastian Larsson,3.5
Kim Källström,1.5
Pontus Wernbloom,10.0
Oscar Lewicki,1.5
Marcus Berg,5.0
John Guidetti,4.0
Emir Kujovic,1.0
Zlatan Ibrahimovic,15.0
Robert Almer,1.0
Ramazan Özcan,1.25
Heinz Lindner,1.0
Aleksandar Dragović,13.0
Kevin Wimmer,6.5
Martin Hinteregger,9.0
Sebastian Prödl,4.0
Florian Klein,2.0
György Garics,0.75
Christian Fuchs,4.5
Markus Suttner,1.5
Stefan Ilsanker,1.8
Julian Baumgartlinger,4.0
David Alaba,45.0
Marko Arnautovic,8.0
Martin Harnik,3.5
Jakob Jantscher,1.5
Alessandro Schöpf,4.0
Marcel Sabitzer,4.0
Zlatko Junuzovic,7.0
Rubin Okotie,1.3
Lukas Hinterseer,2.0
Marc Janko,1.75
Gábor Király,0.25
Dénes Dibusz,1.2
Péter Gulácsi,0.5
Barnabás Bese,0.35
Attila Fiola,0.75
Richárd Guzmics,0.75
Tamás Kádár,0.75
Mihály Korhut,0.45
Roland Juhász,1.0
Ádám Lang,0.7
Ákos Elek,0.6
Zoltán Gera,0.5
László Kleinheisler,0.6
Gergő Lovrencsics,0.8
Ádám Nagy,1.0
Ádám Pintér,0.65
Zoltán Stieber,1.3
Balázs Dzsudzsák,6.25
Dániel Böde,0.8
Krisztián Németh,1.4
Tamás Priskin,0.7
Ádám Szalai,2.5
Hannes Thór Halldórsson,0.4
Ögmundur Kristinsson,0.35
Ingvar Jónsson,0.1
Haukur Heiðar Hauksson,0.5
Hjörtur Hermannsson,0.2
Sverrir Ingi Ingason,0.9
Ragnar Sigurdsson,6.0
Kári Árnason,0.6
Hördur Björgvin Magnússon,0.5
Ari Freyr Skúlason,0.7
Jóhann Berg Guðmundsson,2.0
Birkir Bjarnason,2.5
Gylfi Sigurdsson,11.0
Rúnar Már Sigurjónsson,0.4
Aron Gunnarsson,3.0
Theódór Elmar Bjarnason,0.5
Emil Hallfredsson,3.0
Arnór Ingvi Traustason,0.8
Kolbeinn Sigthórsson,3.0
Alfred Finnbogason,3.5
Jón Dadi Bödvarsson,0.8
Eidur Gudjohnsen,0.3
Anthony Lopes,12.0
Cédric Soares,11.0
José Fonte,5.0
Eliseu,2.0
Raphaël Guerreiro,7.5
Bruno Alves,2.2
Ricardo Carvalho,0.5
Pepe,6.0
Vieirinha,8.0
Adrien Silva,14.0
William Carvalho,26.0
Danilo Pereira,8.0
Renato Sanches,10.0
Rafa Silva,11.0
João Moutinho,18.0
João Mário,12.0
André Gomes,18.0
Nani,16.0
Ricardo Quaresma,4.0
Cristiano Ronaldo,110.0
Éderzito António Macedo Lopes,5.0
Aleksandr Samedov,4.0
Aleksandr Golovin,3.0
Artem Dzyuba,10.0
Fedor Smolov,8.0
Owain Fôn Williams,0.25
Jazz Richards,0.75
Mario Gómez,12.0
Patrick McNair,4.5
Evgen Khacheridi,8.5
Yaroslav Rakitsky,10.0
Artem Fedetsky,4.0
Bogdan Butko,1.8
Evgen Konoplyanka,25.0
Denys Garmash,5.0
Sergiy Sydorchuk,4.0
Sergiy Rybalka,4.0
Pylyp Budkivsky,2.0
Evgen Seleznev,4.5
Mateo Kovacic,20.0
Ladislav Krejcí,3.75
Milan Skoda,0.9
Volkan Sen,5.25
Burak Yilmaz,5.5
Yannick Carrasco,20.0
Wesley Hoolahan,2.0
Jonathan Walters,3.5
Victor Lindelöf,2.5
Nemanja Nikolics,3.5
Birkir Már Saevarsson,0.5
Rui Patrício,14.0
